accept elfogad
allow engedelyez
ask kerdez
believe hisz
borrow kolcsonker
break tor
bring hoz
buy vasarol
can tud, kepes
cancel ervenytelenít
change valtozik
clean tisztit
comb fesul
complain panaszkodik
cough kohog
count szamol
cut vag
dance tancol
draw rajzol
drink iszik
drive vezet
eat eszik
explain magyaraz
fall esik
fill tolt
find talal
finish befejez
fit megfelel
fix javit
fly repul
forget elfelejt
give ad
go megy
have van valamije
hear hall
hurt faj
know tud
learn  tanul
leave hagy
listen hallgat
live el
look nez
lose veszit
do tesz
need igenyel
open nyit
close becsuk
organise szervez
pay fizet
play jatszik
pull huz
push nyom
put tesz
rain esik
read olvas
reply valaszol
run szalad
say mond
see lat
sell elad
send kuld
sign jelol
sing enekel
sit ul
sleep alszik
smoke dohanyzik
speak beszel
spell betuz
spend kolt
stand all
start kezdodik
succeed sikerul
swim uszik
take visz
teach tanit
tell beszel
think gondol
translate fordit
travel utazik
try probal
turn fordul
turn_on bekapcsol
type gepel
understand megert
use hasznal
wait var
wake up felebred
want akar
watch nez
work dolgozik
worry aggodik
write ir
