200
Address_book Cimjegyzek
Adjective Melleknev
Adverb Hatarozoszo
Agressive Agressziv
Alive Elo
Answer Valasz
Anxious Nyugtalan
Apple Alma
Apple_pie Almas_pite
April Aprilis
August Augusztus
Auxiliary Segedige
Bad Rossz
Beautiful Szep
Beige Bezs
Big Nagy
Biscuit Keksz
Black Fekete
Blue Kek
Book Konyv
Boring Unalmas
Brave Bator
Bread Kenyer
Breakfast_cereal Gabonapehely
Brown Barna
Butter Vaj
Cake Sutemeny
Calm Nyugodt
Carrot Repa
Cheap Olcso
Cheese Sajt
Chips Sultkrumpli
Chocolate Csokolade
Cigarettes Cigarettak
Clean Tiszta
Coffee Kave
Coin Penzerme
Comb Fesu
Complicated Osszetett
Conjunction Kotoszo
Consonant Massalhangzo
Coward Gyava
Credit_card Hitelkartya
Crisps Chips
Cyan Ciankek
Dark_blue Sotetkek
Dark_brown Sotetbarna
Dark_green Sotetzold
Dead Halott
December December
Deep Mely
Dialogue Parbeszed
Diary Naplo
Dice Dobokocka
Dictionary Szotar
Difficult Nehez
Diligent Szorgalmas
Dirty Piszkos
Dry Szaraz
Dull Tele
Easy Egyszeru
Egg Tojas
Empty Ures
Example Pelda
Exercise Gyakorlas
Expensive Draga
False Hamis
Fast Gyors
Fat Kover
February FeEbruar
File Akta
Fish Hal
Friday Pentek
Fruit_salad Gyumolcssalata
Garlic Fokhagyma
Glasses Szemuveg
Good Jo
Grammar Nyelvtan
Green Zold
Grey Szürke
Happy Boldog
Hard Kemeny
High Magas
Ice_cream Fagylalt
Identity_card Szemelyazonosito_igazolvany
Indigo Indigo
Infinitive Fonevi_igenev
Interesting Erdekes
Irregular Rendhagyo
Jam Dzsem
January Januar
July Julius
June Junius
Ketchup Paradicsomszosz
Keys Kulcsok
Lazy Lusta
Letter Betu
Lettuce Fejessalata
Light_blue Vilagoskek
Light_brown Vilagosbarna
Light_green Vilagoszold
Lighter Ongyujto
Lipstick Ajakruzs
Loud Hangos
Low Alacsony
Magazine Magazin
March Marcius
Marmalade Lekvar
Matches Gyufa
May Majus
Meat Hus
Milk Tej
Mobile_phone Mobiltelefon
Monday Hetfo
Mushroom Gomba
Narrow Keskeny
Nervous Ideges
Newspaper Ujsag
Noisy Zajos
Noun Fonev
November November
October Oktober
Oil Olaj
Onion Hagyma
Orange Narancs
Orange Narancssarga
Orange_juice Narancsle
Pancake Palacsinta
Paragraph Bekezdes
Pasta Teszta
Peaceful Bekes
Peas Borso
Pen Toll
Pencil Ceruza
Photo Fenykep
Phrase Kifejezes
Pineapple Ananasz
Pink Rozsaszinu
Plural Tobbes_szam
Potato Krumpli
Preposition Eloljaro
Pronoun Nevmas
Pronunciation Kiejtes
Purple Lila
Purse Penztarca
Question Kerdes
Quiet Nyugodt
Red Piros
Regular Szabalyos
Rice Rizs
Right Helyes
Sad Szomoru
Salad Salata
Sandwich Szendvics
Saturday Szombat
Sentence Mondat
September Szeptember
Shallow Sekely
Short Rovid
Silent Csendes
Simple Egyszeru
Singular Egyes_szam
Slow Lassu
Small Kicsi
Soft Puha
Soup Leves
Stamp Belyeg
Strong Eros
Sugar Cukor
Sunday Vasarnap
Sunglasses Napszemüveg
Sweets Edesseg
TOast Piritos
Talkative Beszedes
Tall Magas
Tea Tea
Thin Vekony
Thursday Csutortok
Tissue Papirzsebkendo
Tomato Paradicsom
True Igaz
Tuesday Kedd
Turquoise Turkiz
Ugly Csunya
Umbrella Esernyo
Unhappy Boldogtalan
Verb Ige
Violet Ibolyaszinu
Vocabulary Szokincs
Vowel Maganhangzo
Wallet Penztarca
Watch Karora
Weak Gyenge
Wednesday Szerda
Wet Nedves
White Feher
Wide Szeles
Word Szo
Wrong Helytelen
Yellow Sarga
