300
Accept Elfogad
Address_book Cimjegyzek
Adjective Melleknev
Adverb Hatarozoszo
Agressive Agressziv
Alive Elo
Allow Engedelyez
Answer Valasz
Anxious Nyugtalan
Apple Alma
Apple_pie Almas_pite
April Aprilis
Ask Kerdez
August Augusztus
Auxiliary Segedige
Bad Rossz
Beautiful Szep
Beige Bezs
Believe Hisz
Big Nagy
Biscuit Keksz
Black Fekete
Blue Kek
Book Konyv
Boring Unalmas
Borrow Kolcsonker
Brave Bator
Bread Kenyer
Break Tor
Breakfast_cereal Gabonapehely
Bring Hoz
Bring Hoz
Brown Barna
Butter Vaj
Buy Vasarol
Cake Sutemeny
Calm Nyugodt
Can Kepes
Cancel Ervenytelenit
Carrot Repa
Change Valtozik
Cheap Olcso
Cheese Sajt
Chips Sultkrumpli
Chocolate Csokolade
Cigarettes Cigarettak
Clean Tiszta
Clean Tisztit
Close Becsuk
Coffee Kave
Coin Penzerme
Comb Fesu
Comb Fesul
Complain Panaszkodik
Complicated Osszetett
Conjunction Kotoszo
Consonant Massalhangzo
Cough Kohog
Count Szamol
Coward Gyava
Credit_card Hitelkartya
Crisps Chips
Cut Vag
Cyan Ciankek
Dance Tancol
Dark_blue Sotetkek
Dark_brown Sotetbarna
Dark_green Sotetzold
Dead Halott
December December
Deep Mely
Dialogue Parbeszed
Diary Naplo
Dice Dobokocka
Dictionary Szotar
Difficult Nehez
Diligent Szorgalmas
Dirty Piszkos
Do Tesz
Draw Rajzol
Drink Iszik
Drive Vezet
Dry Szaraz
Dull Tele
Easy Egyszeru
Eat Eszik
Egg Tojas
Empty Ures
Example Pelda
Exercise Gyakorlas
Expected Remelt
Expensive Draga
Explain Magyaraz
Fall Esik
False Hamis
Fast Gyors
Fat Kover
February FeEbruar
File Akta
Fill Tolt
Final Utolso
Find Talal
Finish Befejez
Fish Hal
Fit Megfelel
Fix Javit
Fly Repul
Forget Elfelejt
Friday Pentek
Fruit_salad Gyumolcssalata
Garlic Fokhagyma
Give Ad
Glasses Szemuveg
Go Megy
Good Jo
Grammar Nyelvtan
Green Zold
Grey Szürke
Happy Boldog
Hard Kemeny
Have Van
Hear Hall
High Magas
Hurt Faj
Ice_cream Fagylalt
Identity_card Szemelyazonosito_igazolvany
Indigo Indigo
Infinitive Fonevi_igenev
Initial    Kezdeti
Interesting Erdekes
Irregular Rendhagyo
Jam Dzsem
January Januar
July Julius
June Junius
Ketchup Paradicsomszosz
Keys Kulcsok
Know Tud
Lazy Lusta
Learn Tanul
Leave Hagy
Letter Betu
Lettuce Fejessalata
Light_blue Vilagoskek
Light_brown Vilagosbarna
Light_green Vilagoszold
Lighter Ongyujto
Lipstick Ajakruzs
Listen Hallgat
Live El
Look Nez
Lose Veszit
Loud Hangos
Low Alacsony
Magazine Magazin
Major Jelentosebb
March Marcius
Marmalade Lekvar
Matches Gyufa
May Majus
Meat Hus
Milk Tej
Minor Jelentektelen
Mobile_phone Mobiltelefon
Monday Hetfo
Mushroom Gomba
Narrow Keskeny
Need Igenyel
Nervous Ideges
Newspaper Ujsag
Noisy Zajos
Noun Fonev
November November
October Oktober
Oil Olaj
Onion Hagyma
Open Nyit
Orange Narancs
Orange Narancssarga
Orange_juice Narancsle
Organise Szervez
Pancake Palacsinta
Paragraph Bekezdes
Pasta Teszta
Pay Fizet
Peaceful Bekes
Peas Borso
Pen Toll
Pencil Ceruza
Photo Fenykep
Phrase Kifejezes
Pineapple Ananasz
Pink Rozsaszinu
Play Jatszik
Plural Tobbes_szam
Potato Krumpli
Preposition Eloljaro
Previous Elozo
Pronoun Nevmas
Pronunciation Kiejtes
Pull Huz
Purple Lila
Purse Penztarca
Push Nyom
Put Tesz
Question Kerdes
Quiet Nyugodt
Rain Esik
Read Olvas
Red Piros
Regular Szabalyos
Reply Valaszol
Rice Rizs
Right Helyes
Run Szalad
Sad Szomoru
Salad Salata
Sandwich Szendvics
Saturday Szombat
Say Mond
See Lat
Sell Elad
Send Kuld
Sentence Mondat
September Szeptember
Shallow Sekely
Short Rovid
Sign Jelol
Silent Csendes
Simple Egyszeru
Sing Enekel
Singular Egyes_szam
Sit Ul
Sleep Alszik
Slow Lassu
Small Kicsi
Smoke Dohanyzik
Soft Puha
Soup Leves
Speak Beszel
Spell Betuz
Spend Kolt
Stamp Belyeg
Stand All
Start Kezdodik
Strong Eros
Succeed Sikerul
Sugar Cukor
Sunday Vasarnap
Sunglasses Napszemüveg
Sweets Edesseg
Swim Uszik
Toast Piritos
Take Visz
Talkative Beszedes
Tall Magas
Tea Tea
Teach Tanit
Tell Beszel
Thin Vekony
Think Gondol
Thursday Csutortok
Tissue Papirzsebkendo
Tomato Paradicsom
Translate Fordit
Travel Utazik
True Igaz
Try Probal
Tuesday Kedd
Turn Fordul
Turn_on Bekapcsol
Turquoise Turkiz
Type Gepel
Ugly Csunya
Umbrella Esernyo
Understand Megert
Unexpected Varatlan
Unhappy Boldogtalan
Use Hasznal
Verb Ige
Violet Ibolyaszinu
Vocabulary Szokincs
Vowel Maganhangzo
Wait Var
Wake_Up Felebred
Wallet Penztarca
Want Akar
Watch Karora
Watch Nez
Weak Gyenge
Wednesday Szerda
Wet Nedves
White Feher
Wide Szeles
Word Szo
Work Dolgozik
Worry Aggodik
Write Ir
Wrong Helytelen
Yellow Sarga
